Seguimiento de la demanda de energía eléctrica (MW)

Hora,Real,Prevista,Programada
"2025-07-26 21:00","30593","30257","30491",
"2025-07-26 21:05","30336","30482","30491",
"2025-07-26 21:10","30587","30589","30491",
"2025-07-26 21:15","30714","30579","30494",
"2025-07-26 21:20","30646","30526","30494",
"2025-07-26 21:25","30882","30502","30494",
"2025-07-26 21:30","30807","30508","30897",
"2025-07-26 21:35","30763","30510","30897",
"2025-07-26 21:40","30704","30475","30897",
"2025-07-26 21:45","30880","30403","30886",
"2025-07-26 21:50","31028","30348","30886",
"2025-07-26 21:55","30885","30363","30886",
"2025-07-26 22:00","30797","30480","30643",
"2025-07-26 22:05","30762","30555","30643",
"2025-07-26 22:10","30695","30541","30643",
"2025-07-26 22:15","30510","30437","30276",
"2025-07-26 22:20","30465","30290","30276",
"2025-07-26 22:25","30079","30149","30276",
"2025-07-26 22:30","30067","30012","29870",
"2025-07-26 22:35","29678","29872","29870",
"2025-07-26 22:40","29636","29720","29870",
"2025-07-26 22:45","29460","29556","29383",
"2025-07-26 22:50","29255","29381","29383",
"2025-07-26 22:55","29113","29195","29383",
"2025-07-26 23:00","28867","28963","28664",
"2025-07-26 23:05","28925","28770","28664",
"2025-07-26 23:10","28890","28597","28664",
"2025-07-26 23:15","28621","28443","28060",
"2025-07-26 23:20","28499","28300","28060",
"2025-07-26 23:25","28308","28158","28060",
"2025-07-26 23:30","27936","28017","27845",
"2025-07-26 23:35","27665","27882","27845",
"2025-07-26 23:40","27801","27761","27845",
"2025-07-26 23:45","27634","27654","27048",
"2025-07-26 23:50","27453","27540","27048",
"2025-07-26 23:55","27060","27399","27048",
"2025-07-27 00:00","26892","27123","26871",
"2025-07-27 00:05","26934","26953","26871",
"2025-07-27 00:10","26859","26803","26871",
"2025-07-27 00:15","26859","26674","26499",
"2025-07-27 00:20","26622","26552","26499",
"2025-07-27 00:25","26570","26426","26499",
"2025-07-27 00:30","26638","26295","26186",
"2025-07-27 00:35","26384","26163","26186",
"2025-07-27 00:40","26265","26033","26186",
"2025-07-27 00:45","25729","25906","25471",
"2025-07-27 00:50","25671","25781","25471",
"2025-07-27 00:55","25790","25659","25471",
"2025-07-27 01:00","25416","25448","24588",
"2025-07-27 01:05","25466","25332","24588",
"2025-07-27 01:10","25384","25217","24588",
"2025-07-27 01:15","25160","25103","24949",
"2025-07-27 01:20","25254","24993","24949",
"2025-07-27 01:25","25084","24888","24949",
"2025-07-27 01:30","24869","24788","24669",
"2025-07-27 01:35","24684","24693","24669",
"2025-07-27 01:40","24350","24603","24669",
"2025-07-27 01:45","24470","24518","24258",
"2025-07-27 01:50","24364","24434","24258",
"2025-07-27 01:55","24325","24348","24258",
"2025-07-27 02:00","24394","24180","23619",
"2025-07-27 02:05","24129","24094","23619",
"2025-07-27 02:10","24215","24013","23619",
"2025-07-27 02:15","23747","23937","23646",
"2025-07-27 02:20","23618","23863","23646",
"2025-07-27 02:25","23634","23788","23646",
"2025-07-27 02:30","23618","23712","23636",
"2025-07-27 02:35","23537","23635","23636",
"2025-07-27 02:40","23299","23559","23636",
"2025-07-27 02:45","23048","23484","23121",
"2025-07-27 02:50","23034","23411","23121",
"2025-07-27 02:55","23237","23343","23121",
"2025-07-27 03:00","23184","23226","22403",
"2025-07-27 03:05","23186","23166","22403",
"2025-07-27 03:10","23028","23108","22403",
"2025-07-27 03:15","22940","23051","22743",
"2025-07-27 03:20","23052","22995","22743",
"2025-07-27 03:25","22986","22939","22743",
"2025-07-27 03:30","22827","22883","22750",
"2025-07-27 03:35","22862","22832","22750",
"2025-07-27 03:40","22715","22791","22750",
"2025-07-27 03:45","22754","22760","22543",
"2025-07-27 03:50","22838","22719","22543",
"2025-07-27 03:55","22712","22649","22543",
"2025-07-27 04:00","22468","22521","22436",
"2025-07-27 04:05","22514","22424","22436",
"2025-07-27 04:10","22551","22362","22436",
"2025-07-27 04:15","22602","22332","22271",
"2025-07-27 04:20","22607","22317","22271",
"2025-07-27 04:25","22302","22294","22271",
"2025-07-27 04:30","22360","22265","22272",
"2025-07-27 04:35","22495","22236","22272",
"2025-07-27 04:40","22527","22214","22272",
"2025-07-27 04:45","22166","22198","22217",
"2025-07-27 04:50","22197","22184","22217",
"2025-07-27 04:55","22172","22168","22217",
"2025-07-27 05:00","22333","22131","22149",
